package_cost_scenario,voll_scenario,avoided_eens_mwh_per_year,voll_usd_per_mwh,capital_cost_usd,annual_avoided_outage_value_usd,annual_maintenance_cost_usd,present_value_benefits_usd,present_value_maintenance_usd,benefit_cost_ratio,net_present_value_usd,simple_payback_years,discounted_payback_years,break_even_capital_cost_usd,lifecycle_cost_per_avoided_mwh_usd_per_mwh
low,low,4100.530022184772,5000.0,7000000.0,20502650.11092386,70000.0,401860991.0078631,1372030.8944628844,48.0004190230171,393488960.1134002,0.3425889427949244,1.0,336002933.16111964,104.16575733646005
low,central,4100.530022184772,10000.0,7000000.0,41005300.22184772,70000.0,803721982.0157262,1372030.8944628844,96.0008380460342,795349951.1212633,0.17100155518742247,1.0,672005866.3222393,104.16575733646005
low,high,4100.530022184772,20000.0,7000000.0,82010600.44369544,70000.0,1607443964.0314524,1372030.8944628844,192.0016760920684,1599071933.1369896,0.08542773621496673,1.0,1344011732.6444786,104.16575733646005
central,low,4100.530022184772,5000.0,34000000.0,20502650.11092386,340000.0,401860991.0078631,6664150.058819723,9.882439210621166,361196840.9490434,1.6862862675764654,2.0,336002933.16111964,505.9479642056631
central,central,4100.530022184772,10000.0,34000000.0,41005300.22184772,340000.0,803721982.0157262,6664150.058819723,19.764878421242333,763057831.9569064,0.836093667439181,1.0,672005866.3222393,505.9479642056631
central,high,4100.530022184772,20000.0,34000000.0,82010600.44369544,340000.0,1607443964.0314524,6664150.058819723,39.529756842484666,1566779813.9726326,0.41630647767111684,1.0,1344011732.6444786,505.9479642056631
high,low,4100.530022184772,5000.0,121000000.0,20502650.11092386,1210000.0,401860991.0078631,23716534.032858428,2.7768837451332207,257144456.97500467,6.271818506234534,8.0,336002933.16111964,1800.579519673095
high,central,4100.530022184772,10000.0,121000000.0,41005300.22184772,1210000.0,803721982.0157262,23716534.032858428,5.553767490266441,659005447.9828677,3.0405600491881875,4.0,672005866.3222393,1800.579519673095
high,high,4100.530022184772,20000.0,121000000.0,82010600.44369544,1210000.0,1607443964.0314524,23716534.032858428,11.107534980532883,1462727429.998594,1.4975136241013065,2.0,1344011732.6444786,1800.579519673095
