scenario,return_period_years,annual_exceedance_probability,baseline_load_shed_mwh,adapted_load_shed_mwh,avoided_load_shed_mwh,load_shed_reduction_percent,baseline_peak_load_shed_mw,adapted_peak_load_shed_mw,baseline_demand_served_mwh,adapted_demand_served_mwh,baseline_system_cost,adapted_system_cost,avoided_system_cost,baseline_capacity_loss,adapted_capacity_loss,avoided_capacity_loss,solver_status,runtime_minutes,result_source,warning
flood_jrc_rp10_f63_gradual,10,0.1,344390.58591646806,337566.6450871225,6823.940829345549,1.9814539387556593,20362.16874803001,19915.834517584983,225688.41408353197,232512.3549128775,3473560368.180281,3405787938.0303164,67772430.14996481,646113.1161988552,635810.1333124097,10302.982886445447,ok,0.7621732354164124,reused_completed_pilot,
flood_jrc_rp20_f63_gradual,20,0.05,353377.8837713453,340204.85547737987,13173.028293965443,3.7277455378302924,20901.176755177577,20045.766563565485,216701.1162286547,229874.14452262013,3562849484.442748,3432037173.9471436,130812310.49560452,663016.398277197,652200.0919927604,10816.306284436627,ok,0.9311051607131958,new_full_suite_solve,
flood_jrc_rp50_f63_gradual,50,0.02,375016.7790865489,365875.1324202325,9141.646666316374,2.437663372978467,21903.14339738115,21376.006329630378,195062.2209134511,204203.86757976748,3777673186.348074,3686795429.85609,90877756.49198389,687675.5928076737,676507.4452819952,11168.14752567856,ok,0.9416037797927856,new_full_suite_solve,
flood_jrc_rp75_f63_gradual,75,0.013333333333333334,380143.2428300504,368135.5505444888,12007.692285561585,3.158728324662036,22131.687511180287,21485.143119181204,189935.7571699496,201943.44945551117,3828667081.877043,3709297468.175141,119369613.70190191,701863.0018277268,690575.4469778,11287.554849926873,ok,0.9031611839930217,new_full_suite_solve,
flood_jrc_rp100_f63_gradual,100,0.01,381735.8993185841,369679.6904871129,12056.208831471216,3.158259113956035,22195.179125058177,21548.634733059625,188343.10068141588,200399.30951288715,3844419020.182613,3724581685.941883,119837334.24072981,709063.9534473919,697776.398597465,11287.554849926873,ok,0.8200907945632935,reused_completed_pilot,
flood_jrc_rp200_f63_gradual,200,0.005,387600.37033435656,377714.1718176595,9886.19851669704,2.550616375358178,22417.161415341157,21920.703182069232,182478.62966564344,192364.82818234048,3902705093.393603,3804424692.1188564,98280401.27474642,724222.4350369493,712936.5663864014,11285.868650547905,ok,0.8933310031890869,new_full_suite_solve,
flood_jrc_rp500_f63_gradual,500,0.002,394849.1261943511,384967.3382084623,9881.787985888834,2.502674396454118,22687.607799907342,22191.14956663542,175229.87380564894,185111.6617915377,3974813128.0657473,3876577836.367064,98235291.69868326,738374.8874910331,728325.3906888203,10049.496802212818,ok,0.8578358650207519,reused_completed_pilot,
